sweep,value,repeats,paired_count,basic_success_rate,normalized_success_rate,basic_mean,basic_ci,normalized_mean,normalized_ci,diff_mean,diff_ci,t_stat,significant,practically_negligible
noise,0.0,300,300,1.0,1.0,1.6265155559498693e-09,1.0822191098744688e-10,1.989267143175183e-13,6.6163067724887546e-15,-1.6263166292355512e-09,1.0822146730319537e-10,-29.45369435649987,False,True
noise,0.25,300,300,1.0,1.0,0.1965739235585787,0.005711072108551816,0.1962703271872735,0.005665170016352495,-0.00030359637130518874,0.0005149217062829235,-1.1555891824616074,False,False
noise,0.5,300,300,1.0,1.0,0.4056879902173838,0.012095908953022795,0.4029371464752759,0.011786493988150916,-0.0027508437421078424,0.0021943908231604483,-2.4569710211709825,True,False
noise,1.0,300,300,1.0,1.0,0.8161144282612214,0.023801934057037417,0.7871386525473141,0.021967368468755008,-0.028975775713907328,0.009586134322185087,-5.924335599172321,True,False
noise,2.0,300,300,1.0,1.0,1.8434667845255308,0.1434627868747291,1.5723161763528908,0.04798796605322114,-0.2711506081726399,0.1379425304998329,-3.8526582373023097,True,False
noise,4.0,300,300,1.0,1.0,4.771306411303555,0.6132627884568801,3.1772826855008507,0.09335014983549395,-1.5940237258027046,0.6148268379968945,-5.081478068287305,True,False
point_count,4,300,300,1.0,1.0,1.3345842053633952,0.040348451077764365,1.334584205361604,0.040348451077165406,-1.7911379786757683e-12,1.4833915163147656e-11,-0.23665808324614004,False,True
point_count,6,300,300,1.0,1.0,1.2959576840668265,0.18829593454746393,1.116277356925578,0.03267687084329078,-0.17968032714124868,0.18399954322961393,-1.913955674812471,False,False
point_count,8,300,300,1.0,1.0,0.9912896660283363,0.030125214237232023,0.9668872057992463,0.02846282765577587,-0.02440246022909014,0.011181496464755952,-4.2774187993477675,True,False
point_count,12,300,300,1.0,1.0,0.8161144282612214,0.023801934057037417,0.7871386525473141,0.021967368468755008,-0.028975775713907328,0.009586134322185087,-5.924335599172321,True,False
point_count,20,300,300,1.0,1.0,0.6502498239272061,0.01802387885798243,0.6232912104609247,0.0172142372040646,-0.026958613466281225,0.007037485946976531,-7.508066355677501,True,False
point_count,30,300,300,1.0,1.0,0.5400922689034575,0.014853080546401784,0.5079790770754203,0.014092004934300444,-0.03211319182803712,0.007983576061372686,-7.883772751424979,True,False
scale,1.0,300,300,1.0,1.0,1.6265155559498693e-09,1.0822191098744688e-10,1.989267143175183e-13,6.6163067724887546e-15,-1.6263166292355512e-09,1.0822146730319537e-10,-29.45369435649987,False,True
scale,10.0,300,300,1.0,1.0,1.751687031482854e-06,1.195056341567071e-07,2.0142874590334267e-12,6.490528209264404e-14,-1.7516850171953947e-06,1.1950562734823058e-07,-28.728685185319286,True,False
scale,100.0,300,300,1.0,1.0,0.0014406732662002695,9.552482708983111e-05,1.9375554041303788e-11,6.141968256644499e-13,-0.0014406732468247156,9.552482701995526e-05,-29.559516257244397,True,False
scale,1000.0,300,300,1.0,1.0,1.372018972316134,0.08606684656267061,2.0127937253529313e-10,6.0330923928941436e-12,-1.3720189721148548,0.0860668465623895,-31.244409187240954,True,False
scale,10000.0,300,126,0.42,1.0,1336.917499845448,124.72788710969083,2.0575834736544883e-09,6.220466842407961e-11,-1336.9174998434266,124.72788710968257,-21.008214046712865,True,False
scale,100000.0,300,0,0.0,1.0,nan,nan,2.004425136819594e-08,6.451609074887274e-10,nan,nan,nan,False,True
