sigma_px,case,target_size,method,repeats,transfer_mae_vs_truth_px,transfer_median_vs_truth_px,transfer_std_vs_truth_px
0.0,auto_estimated,751x535,basic_dlt,100,95.3483120779315,95.34831207793151,1.4282446375932695e-14
0.0,auto_estimated,751x535,normalized_dlt,100,95.34831208091406,95.34831208091406,0.0
0.0,true_size,640x420,basic_dlt,100,2.550082647204759e-09,2.55008264720476e-09,8.313477956650717e-25
0.0,true_size,640x420,normalized_dlt,100,1.7135181293146275e-09,1.713518129314628e-09,4.156738978325359e-25
0.5,auto_estimated,751x535,basic_dlt,100,95.36560179329547,95.40319538314111,0.3260120319633941
0.5,auto_estimated,751x535,normalized_dlt,100,95.3656017935842,95.40319538150669,0.32601203178778493
0.5,true_size,640x420,basic_dlt,100,0.4825384149746418,0.46286326812544387,0.1710239183066336
0.5,true_size,640x420,normalized_dlt,100,0.48253841487342425,0.46286326891572827,0.1710239182589567
1.0,auto_estimated,751x535,basic_dlt,100,95.38583891480255,95.46203821121317,0.6523214026730104
1.0,auto_estimated,751x535,normalized_dlt,100,95.3858389152567,95.46203821250276,0.6523214026428256
1.0,true_size,640x420,basic_dlt,100,0.9652238949287023,0.9257253067791811,0.34217068694662217
1.0,true_size,640x420,normalized_dlt,100,0.9652238950632972,0.9257253066478779,0.3421706868860656
2.0,auto_estimated,751x535,basic_dlt,100,95.43515454522723,95.59146322458588,1.3057692914565449
2.0,auto_estimated,751x535,normalized_dlt,100,95.43515454564381,95.59146322614328,1.305769291788358
2.0,true_size,640x420,basic_dlt,100,1.9310779579239554,1.8515000860203559,0.684860900682011
2.0,true_size,640x420,normalized_dlt,100,1.9310779580190185,1.851500086176362,0.6848609007649368
3.0,auto_estimated,751x535,basic_dlt,100,95.4962607713781,95.73630731810927,1.9602180012020263
3.0,auto_estimated,751x535,normalized_dlt,100,95.49626077201422,95.7363073192429,1.9602180015147745
3.0,true_size,640x420,basic_dlt,100,2.8976465588311373,2.7774332543084364,1.0281277090863592
3.0,true_size,640x420,normalized_dlt,100,2.8976465589477227,2.7774332550718945,1.02812770912383
5.0,auto_estimated,751x535,basic_dlt,100,95.65388060263173,96.07112495623761,3.271616299121267
5.0,auto_estimated,751x535,normalized_dlt,100,95.6538806033541,96.07112495800828,3.2716162993388753
5.0,true_size,640x420,basic_dlt,100,4.833269805336395,4.618506542128902,1.7166268246340406
5.0,true_size,640x420,normalized_dlt,100,4.833269805335532,4.6185065418024305,1.7166268246463359
